aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0001","video_relative_to_recording_start",rectangle,733,0,1224,436,,,,"B001","T004","B",loading,,,,,1,TRUE,0.000,50.000,296.094604,296.144592,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",43.919212,252175.391,252225.375,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252175.391,252225.375,252200.375,"1781423153490","1781423153540","2026-06-14T15:45:53.490+08:00","2026-06-14T15:45:53.540+08:00",296.094604,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0002","video_relative_to_recording_start",rectangle,779,389,1173,406,,,,"B001","T004","B",loading,,,,,1,TRUE,0.000,50.000,296.094604,296.144592,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",43.919212,252175.391,252225.375,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252175.391,252225.375,252200.375,"1781423153490","1781423153540","2026-06-14T15:45:53.490+08:00","2026-06-14T15:45:53.540+08:00",296.094604,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0003","video_relative_to_recording_start",rectangle,733,0,1224,436,,,,"B001","T004","B",loading,,,,,1,TRUE,50.000,100.000,296.144592,296.194611,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",43.919212,252225.375,252275.391,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252225.375,252275.391,252250.375,"1781423153540","1781423153590","2026-06-14T15:45:53.540+08:00","2026-06-14T15:45:53.590+08:00",296.094604,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0004","video_relative_to_recording_start",rectangle,779,389,1173,406,,,,"B001","T004","B",loading,,,,,1,TRUE,50.000,100.000,296.144592,296.194611,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",43.919212,252225.375,252275.391,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252225.375,252275.391,252250.375,"1781423153540","1781423153590","2026-06-14T15:45:53.540+08:00","2026-06-14T15:45:53.590+08:00",296.094604,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0005","video_relative_to_recording_start",rectangle,733,0,1224,436,,,,"B001","T004","B",loading,,,,,1,TRUE,100.000,150.000,296.194611,296.244598,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",43.919212,252275.391,252325.375,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252275.391,252325.375,252300.375,"1781423153590","1781423153640","2026-06-14T15:45:53.590+08:00","2026-06-14T15:45:53.640+08:00",296.094604,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0006","video_relative_to_recording_start",rectangle,779,389,1173,406,,,,"B001","T004","B",loading,,,,,1,TRUE,100.000,150.000,296.194611,296.244598,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",43.919212,252275.391,252325.375,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252275.391,252325.375,252300.375,"1781423153590","1781423153640","2026-06-14T15:45:53.590+08:00","2026-06-14T15:45:53.640+08:00",296.094604,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0007","video_relative_to_recording_start",rectangle,733,0,1224,436,,,,"B001","T004","B",loading,,,,,1,TRUE,150.000,200.000,296.244598,296.294617,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",43.919212,252325.375,252375.391,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252325.375,252375.391,252350.375,"1781423153640","1781423153690","2026-06-14T15:45:53.640+08:00","2026-06-14T15:45:53.690+08:00",296.094604,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0008","video_relative_to_recording_start",rectangle,779,389,1173,406,,,,"B001","T004","B",loading,,,,,1,TRUE,150.000,200.000,296.244598,296.294617,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",43.919212,252325.375,252375.391,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252325.375,252375.391,252350.375,"1781423153640","1781423153690","2026-06-14T15:45:53.640+08:00","2026-06-14T15:45:53.690+08:00",296.094604,EXP1,"b_progress_bar",-1,-1,
"b_preview_panel","B条件预览面板","T004_b_preview_panel_0009","video_relative_to_recording_start",rectangle,733,0,1224,436,,,,"B001","T004","B",loading,,,,,1,TRUE,200.000,250.000,296.294617,296.344604,1920,1046,"world_widget_card_size_box_geometry",1,1,"video_relative_to_screen_recording_start",43.919212,252375.391,252425.391,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252375.391,252425.391,252400.391,"1781423153690","1781423153740","2026-06-14T15:45:53.690+08:00","2026-06-14T15:45:53.740+08:00",296.094604,EXP1,"b_preview",-1,-1,
"b_progress_bar","B条件进度条区域","T004_b_progress_bar_0010","video_relative_to_recording_start",rectangle,779,389,1173,406,,,,"B001","T004","B",loading,,,,,1,TRUE,200.000,250.000,296.294617,296.344604,1920,1046,"world_widget_loading_progress_bar_geometry",1,0,"video_relative_to_screen_recording_start",43.919212,252375.391,252425.391,1,43.919212,"1781422901315","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B001_20260614_154141_screen.mkv",252375.391,252425.391,252400.391,"1781423153690","1781423153740","2026-06-14T15:45:53.690+08:00","2026-06-14T15:45:53.740+08:00",296.094604,EXP1,"b_progress_bar",-1,-1,
