event,participant,success,unix_ms,bjt,extra
"recording_start","P001",1,1780400059734,"2026-06-02T19:34:19.734+08:00","pid=16280 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_193419_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y 0 -video_size 1920x1080 -i desktop -vf scale=1920:-2 -c:v libx264 -preset ultrafast -crf 34 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_193419_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780400096002,"2026-06-02T19:34:56.002+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_193419_screen.mkv size_bytes=2883584"
"recording_start","P001",1,1780400580860,"2026-06-02T19:43:00.860+08:00","pid=16272 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_194300_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y 0 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 32 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_194300_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780400637483,"2026-06-02T19:43:57.483+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_194300_screen.mkv size_bytes=6029312"
"recording_start","P001",1,1780404277404,"2026-06-02T20:44:37.404+08:00","pid=11992 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_204437_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_204437_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780404304838,"2026-06-02T20:45:04.838+08:00","was_running=1 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_204437_screen.mkv size_bytes=6029312"
"recording_start","P001",1,1780404964876,"2026-06-02T20:56:04.876+08:00","pid=28972 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_205604_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_205604_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780404995865,"2026-06-02T20:56:35.865+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260602_205604_screen.mkv size_bytes=7655399"
"recording_start","AOItest",1,1780738626488,"2026-06-06T17:37:06.488+08:00","pid=23188 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOItest_20260606_173705_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOItest_20260606_173705_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780738632594,"2026-06-06T17:37:12.594+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOItest_20260606_173705_screen.mkv size_bytes=1102716"
