aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0011","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,250.000,300.000,353.921143,353.971130,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317842.344,317892.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317842.344,317892.344,317867.344,"1781266714316","1781266714366","2026-06-12T20:18:34.316+08:00","2026-06-12T20:18:34.366+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0012","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,250.000,300.000,353.921143,353.971130,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317842.344,317892.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317842.344,317892.344,317867.344,"1781266714316","1781266714366","2026-06-12T20:18:34.316+08:00","2026-06-12T20:18:34.366+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0013","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,300.000,350.000,353.971130,354.021149,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317892.344,317942.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317892.344,317942.344,317917.344,"1781266714366","1781266714416","2026-06-12T20:18:34.366+08:00","2026-06-12T20:18:34.416+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0014","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,300.000,350.000,353.971130,354.021149,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317892.344,317942.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317892.344,317942.344,317917.344,"1781266714366","1781266714416","2026-06-12T20:18:34.366+08:00","2026-06-12T20:18:34.416+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0015","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,350.000,400.000,354.021149,354.071136,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317942.344,317992.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317942.344,317992.344,317967.344,"1781266714416","1781266714466","2026-06-12T20:18:34.416+08:00","2026-06-12T20:18:34.466+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0016","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,350.000,400.000,354.021149,354.071136,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317942.344,317992.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317942.344,317992.344,317967.344,"1781266714416","1781266714466","2026-06-12T20:18:34.416+08:00","2026-06-12T20:18:34.466+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0017","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,400.000,450.000,354.071136,354.121155,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,317992.344,318042.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317992.344,318042.344,318017.344,"1781266714466","1781266714516","2026-06-12T20:18:34.466+08:00","2026-06-12T20:18:34.516+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0018","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,400.000,450.000,354.071136,354.121155,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,317992.344,318042.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",317992.344,318042.344,318017.344,"1781266714466","1781266714516","2026-06-12T20:18:34.466+08:00","2026-06-12T20:18:34.516+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_002_exp2_table_objects_0019","video_relative_to_recording_start",rectangle,0,284,1919,1045,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,450.000,500.000,354.121155,354.171143,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",36.078785,318042.344,318092.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",318042.344,318092.344,318067.344,"1781266714516","1781266714566","2026-06-12T20:18:34.516+08:00","2026-06-12T20:18:34.566+08:00",353.671143,EXP2,"exp2_table",3,2,"1:4|2:3|3:1|4:2"
"exp2_target_object","实验二当前目标模型_脖子","Exp2_002_exp2_target_object_0020","video_relative_to_recording_start",rectangle,337,319,827,844,,,,"A017_2","Exp2_002","E1_SPATIAL_PROGRESSIVE",loading,,,,,1,TRUE,450.000,500.000,354.121155,354.171143,1920,1046,"ObjectSlot2",1,0,"video_relative_to_screen_recording_start",36.078785,318042.344,318092.344,1,36.078785,"1781266396475","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A017_2_20260612_201316_screen.mkv",318042.344,318092.344,318067.344,"1781266714516","1781266714566","2026-06-12T20:18:34.516+08:00","2026-06-12T20:18:34.566+08:00",353.671143,EXP2,"exp2_target",3,2,"1:4|2:3|3:1|4:2"
