Type,Source,Destination,Success,Note
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/B005_exp01_InspectQuestionResults.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/CSV/B005_exp01_InspectQuestionResults.csv,1,copied
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/B005_exp02_Experiment2Results.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/CSV/B005_exp02_Experiment2Results.csv,1,copied
experiment_end_csv_filtered,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/ExperimentEndEvents.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/CSV/B005_ExperimentEndEvent.csv,1,filtered_rows_1
dynamic_aoi,../../../../../../Project/UE5/Gallery/Saved/EyeTrackingAOI/B005_DynamicAOI.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/AOI/B005_DynamicAOI.csv,1,copied
formal_edf,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM142908.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/EDF/FM142908.EDF,1,copied
latest_edf_fallback,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM142908.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/EDF/FM142908.EDF,1,copied
latest_eyelink_marker_log,../../../../../../Project/UE5/Gallery/Saved/ExperimentLogs/EyeLinkMarkers_20260616_142635_242.log,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/Logs/EyeLinkMarkers_20260616_142635_242.log,1,copied
screen_recording_log,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/ScreenRecordingLog.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/Logs/ScreenRecordingLog.csv,1,copied
screen_recording,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B005_20260616_143102_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/ScreenRecordings/B005_20260616_143102_screen.mkv,1,copied
latest_screen_recording_fallback,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B005_20260616_143102_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B005/ScreenRecordings/B005_20260616_143102_screen.mkv,1,copied
