aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0403","video_relative_to_recording_start",rectangle,320,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10050.000,10100.000,536.503418,536.553406,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461443.312,461493.281,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461443.312,461493.281,461468.312,"1781613575616","1781613575666","2026-06-16T20:39:35.616+08:00","2026-06-16T20:39:35.666+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0404","video_relative_to_recording_start",rectangle,1716,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10050.000,10100.000,536.503418,536.553406,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461443.312,461493.281,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461443.312,461493.281,461468.312,"1781613575616","1781613575666","2026-06-16T20:39:35.616+08:00","2026-06-16T20:39:35.666+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0405","video_relative_to_recording_start",rectangle,396,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10100.000,10150.000,536.553406,536.603455,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461493.281,461543.344,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461493.281,461543.344,461518.312,"1781613575666","1781613575716","2026-06-16T20:39:35.666+08:00","2026-06-16T20:39:35.716+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0406","video_relative_to_recording_start",rectangle,1798,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10100.000,10150.000,536.553406,536.603455,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461493.281,461543.344,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461493.281,461543.344,461518.312,"1781613575666","1781613575716","2026-06-16T20:39:35.666+08:00","2026-06-16T20:39:35.716+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0407","video_relative_to_recording_start",rectangle,423,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10150.000,10200.000,536.603455,536.653442,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461543.344,461593.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461543.344,461593.312,461568.312,"1781613575716","1781613575766","2026-06-16T20:39:35.716+08:00","2026-06-16T20:39:35.766+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0408","video_relative_to_recording_start",rectangle,1831,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10150.000,10200.000,536.603455,536.653442,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461543.344,461593.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461543.344,461593.312,461568.312,"1781613575716","1781613575766","2026-06-16T20:39:35.716+08:00","2026-06-16T20:39:35.766+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0409","video_relative_to_recording_start",rectangle,449,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10200.000,10250.000,536.653442,536.703430,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461593.312,461643.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461593.312,461643.312,461618.312,"1781613575766","1781613575816","2026-06-16T20:39:35.766+08:00","2026-06-16T20:39:35.816+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0410","video_relative_to_recording_start",rectangle,1864,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10200.000,10250.000,536.653442,536.703430,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461593.312,461643.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461593.312,461643.312,461618.312,"1781613575766","1781613575816","2026-06-16T20:39:35.766+08:00","2026-06-16T20:39:35.816+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0411","video_relative_to_recording_start",rectangle,449,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10250.000,10300.000,536.703430,536.753418,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461643.312,461693.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461643.312,461693.312,461668.312,"1781613575816","1781613575866","2026-06-16T20:39:35.816+08:00","2026-06-16T20:39:35.866+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0412","video_relative_to_recording_start",rectangle,1864,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10250.000,10300.000,536.703430,536.753418,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461643.312,461693.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461643.312,461693.312,461668.312,"1781613575816","1781613575866","2026-06-16T20:39:35.816+08:00","2026-06-16T20:39:35.866+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
